Date,Close/Last,Volume,Open,High,Low
04/14/2021,$53.11,3594163,$52.40,$53.53,$52.33
04/13/2021,$52.03,3359138,$52.04,$52.52,$51.29
04/12/2021,$52.01,2191667,$51.08,$52.14,$50.88
04/09/2021,$51.33,2361643,$51.85,$51.85,$50.61
04/08/2021,$51.61,1642798,$51.30,$51.715,$51.00
04/07/2021,$51.05,1683719,$51.18,$51.43,$50.715
04/06/2021,$51.18,1792491,$51.02,$51.37,$50.76
04/05/2021,$51.16,1890324,$50.74,$51.25,$50.74
04/01/2021,$50.35,2397465,$49.55,$50.39,$49.30
03/31/2021,$48.85,2853679,$49.27,$49.62,$48.81
03/30/2021,$49.19,1916433,$48.34,$49.28,$48.335
03/29/2021,$48.54,2659318,$48.09,$48.91,$47.94
03/26/2021,$48.47,2484532,$48.30,$48.86,$47.79
03/25/2021,$47.92,1844210,$47.51,$47.99,$46.95
03/24/2021,$47.98,2082088,$48.20,$48.828,$47.92
03/23/2021,$47.87,2008946,$48.71,$48.75,$47.79
03/22/2021,$48.76,2296524,$48.12,$49.07,$47.89
03/19/2021,$48.20,3308269,$47.62,$48.33,$47.39
03/18/2021,$47.81,2144100,$48.71,$48.93,$47.65
03/17/2021,$48.98,1856939,$49.07,$49.12,$48.13
03/16/2021,$48.93,2386280,$49.32,$49.79,$48.52
03/15/2021,$49.35,3268567,$48.76,$49.36,$48.18
03/12/2021,$48.43,2792391,$48.10,$48.43,$47.47
03/11/2021,$48.21,3912579,$48.07,$48.48,$47.78
03/10/2021,$47.77,2142901,$47.52,$48.09,$47.13
03/09/2021,$47.07,3459201,$47.50,$47.732,$46.79
03/08/2021,$47.08,4613649,$47.00,$47.3946,$46.43
03/05/2021,$46.90,3369118,$47.00,$47.14,$45.61
